Atomic Number,Name,Symbol,Atomic Weight,Density,Absolute Melting Point,Absolute Boiling Point,Critical Pressure,Specific Heat,Thermal Conductivity,Thermal Expansion,Molar Volume,Electronegativity,ElectronAffinity,Valence,IonizationEnergy_Mean,Electrical Conductivity,Resistivity,Superconducting Point,Magnetic Type,Mass Magnetic Susceptibility,Molar Magnetic Susceptibility,Crystal Structure
29,Copper,Cu,63.546,8.96,1357.77,2835.0,,384.4,400.0,1.65e-05,7.0922e-06,1.9,118.4,2.0,40785.54285714286,59000000.0,1.7e-08,,Diamagnetic,-1.08e-09,-6.86e-11,Face-centered Cubic
30,Zinc,Zn,65.38,7.14,692.68,1180.0,,388.0,120.0,3.02e-05,9.157e-06,1.65,0.0,2.0,36969.223809523806,17000000.0,5.900000000001e-08,0.85,Diamagnetic,-2.21e-09,-1.45e-10,Simple Hexagonal
31,Gallium,Ga,69.723,5.904,302.91,2477.0,,371.0,29.0,0.00012,1.1809e-05,1.81,28.9,3.0,2925.275,7100000.0,1.4e-07,1.083,Diamagnetic,-3e-09,-2.09e-10,Base Orthorhombic
32,Germanium,Ge,72.63,5.323,1211.4,3093.0,,321.4,60.0,6e-06,1.3645e-05,2.01,119.0,4.0,3806.5199999999995,2000.0,0.0005,,Diamagnetic,-1.5e-09,-1.09e-10,Face-centered Cubic
33,Arsenic,As,74.921595,5.727,1090.0,887.0,,328.0,50.0,,1.3082e-05,2.18,78.0,5.0,4778.333333333333,3300000.0,3e-07,,Diamagnetic,-3.9e-09,-2.92e-10,Simple Trigonal
34,Selenium,Se,78.971,4.819,494.0,958.0,268.4,321.2,0.52,,1.6387e-05,2.55,195.0,6.0,5651.957142857143,,,,Diamagnetic,-4e-09,-3.16e-10,Simple Monoclinic
35,Bromine,Br,79.904,3.12,265.8,332.0,102.0,947.3,0.12,,2.561e-05,2.96,324.6,5.0,6765.3625,1e-10,10000000000.0,,Diamagnetic,-4.9e-09,-7.83e-10,Base Orthorhombic
36,Krypton,Kr,83.798,3.75,115.79,119.93,54.28,248.05,0.00943,,0.02235,3.0,0.0,2.0,33407.05714285714,,,,Diamagnetic,-4.4e-09,-3.69e-10,Face-centered Cubic
37,Rubidium,Rb,85.4678,1.532,312.46,961.0,157.9,364.0,58.0,,5.5788e-05,0.82,46.9,1.0,9089.6,8300000.0,1.2e-07,,Paramagnetic,2.6e-09,2.22e-10,Body-centered Cubic
38,Strontium,Sr,87.62,2.63,1050.0,1655.0,,300.0,35.0,2.25e-05,3.3316e-05,0.95,5.03,2.0,8165.17,7700000.0,1.3e-07,,Paramagnetic,1.32e-09,1.16e-10,Face-centered Cubic
39,Yttrium,Y,88.90584,4.472,1799.0,3618.0,,298.0,17.0,1.06e-05,1.9881e-05,1.22,29.6,3.0,8215.7,1800000.0,5.7e-07,1.3,Paramagnetic,6.66e-08,5.921e-09,Simple Hexagonal
40,Zirconium,Zr,91.224,6.511,2128.0,4682.0,,278.0,23.0,5.7e-06,1.4011e-05,1.33,41.1,4.0,4115.516666666666,2400000.0,4.2e-07,0.61,Paramagnetic,1.68e-08,1.53e-09,Simple Hexagonal
41,Niobium,Nb,92.90637,8.57,2750.0,5017.0,,265.0,54.0,7.3e-06,1.0841e-05,1.6,86.1,5.0,4996.0142857142855,6700000.0,1.5e-07,9.25,Paramagnetic,2.76e-08,2.56e-09,Body-centered Cubic
42,Molybdenum,Mo,95.95,10.28,2896.0,4912.0,,251.0,139.0,4.8e-06,9.334e-06,2.16,71.9,6.0,31312.623809523808,20000000.0,4.999999999997e-08,0.915,Paramagnetic,1.17e-08,1.122e-09,Body-centered Cubic
43,Technetium,Tc,97.0,11.5,2430.0,4538.0,,63.0,51.0,,8.434782608696e-06,1.9,53.0,6.0,1674.0,5000000.0,2e-07,7.7,Paramagnetic,3.42e-08,3.352e-09,Simple Hexagonal
44,Ruthenium,Ru,101.07,12.37,2607.0,4423.0,,238.0,120.0,6.4e-06,8.1706e-06,2.2,101.3,6.0,1692.3999999999999,14000000.0,7.000000000002e-08,0.49,Paramagnetic,5.42e-09,5.48e-10,Simple Hexagonal
45,Rhodium,Rh,102.9055,12.45,2237.0,3968.0,,240.0,150.0,8e-06,8.2655e-06,2.28,109.7,6.0,1818.8999999999999,23000000.0,4.300000000003e-08,,Paramagnetic,1.36e-08,1.4e-09,Face-centered Cubic
46,Palladium,Pd,106.42,12.023,1828.05,3236.0,,240.0,71.0,1.18e-05,8.8514e-06,2.2,53.7,4.0,1950.4666666666665,10000000.0,1e-07,,Paramagnetic,6.57e-08,6.992e-09,Face-centered Cubic
47,Silver,Ag,107.8682,10.49,1234.93,2435.0,,235.0,430.0,1.89e-05,1.0283e-05,1.93,125.6,1.0,2054.0,62000000.0,1.6e-08,,Diamagnetic,-2.27e-09,-2.45e-10,Face-centered Cubic
48,Cadmium,Cd,112.414,8.65,594.22,1040.0,,230.0,96.0,3.08e-05,1.2996e-05,1.69,0.0,2.0,2038.3999999999999,14000000.0,7.000000000002e-08,0.517,Diamagnetic,-2.3e-09,-2.59e-10,Simple Hexagonal
49,Indium,In,114.818,7.31,429.75,2345.0,,233.0,82.0,3.21e-05,1.5707e-05,1.78,28.9,3.0,2573.25,12000000.0,8.000000000001e-08,3.41,Diamagnetic,-1.4e-09,-1.61e-10,Centered Tetragonal
50,Tin,Sn,118.71,7.31,505.08,2875.0,,217.0,67.0,2.2e-05,1.6239e-05,1.96,107.3,4.0,3289.94,9100000.0,1.1e-07,3.72,Diamagnetic,-3.1e-09,-3.68e-10,Centered Tetragonal
51,Antimony,Sb,121.76,6.697,903.78,1860.0,,207.0,24.0,1.1e-05,1.8181e-05,2.05,103.2,5.0,4154.816666666667,2500000.0,4e-07,,Diamagnetic,-1.09e-08,-1.327e-09,Simple Trigonal
52,Tellurium,Te,127.6,6.24,722.66,1261.0,,201.0,3.0,,2.0449e-05,2.1,190.2,6.0,4950.757142857144,10000.0,0.0001,,Diamagnetic,-3.9e-09,-4.98e-10,Simple Trigonal
53,Iodine,I,126.90447,4.94,386.85,457.4,115.5,429.0,0.449,,2.5689e-05,2.66,295.2,7.0,2011.4333333333334,1e-07,10000000.0,,Diamagnetic,-4.5e-09,-1.14e-09,Base Orthorhombic
54,Xenon,Xe,131.293,5.9,161.3,165.1,57.65,158.32,0.00565,,0.0223,2.6,0.0,6.0,2105.4,,,,Diamagnetic,-4.3e-09,-5.65e-10,Face-centered Cubic
55,Cesium,Cs,132.90545196,1.879,301.59,944.0,92.77,242.0,36.0,,7.0732e-05,0.79,45.5,1.0,2003.3333333333333,5000000.0,2e-07,,Paramagnetic,2.8e-09,3.72e-10,Body-centered Cubic
56,Barium,Ba,137.327,3.51,1000.0,2143.0,,205.0,18.0,2.06e-05,3.9125e-05,0.89,13.95,2.0,1689.3666666666668,2900000.0,3.5e-07,,Paramagnetic,1.13e-08,1.552e-09,Body-centered Cubic
57,Lanthanum,La,138.90547,6.146,1193.0,3737.0,,195.0,13.0,1.21e-05,2.2601e-05,1.1,48.0,3.0,2842.88,1600000.0,6.1e-07,4.88,Paramagnetic,1.1e-08,1.528e-09,Simple Hexagonal
58,Cerium,Ce,140.116,6.689,1071.0,3633.0,,192.0,11.0,6.3e-06,2.0947e-05,1.12,50.0,4.0,3482.566666666667,1400000.0,7.5e-07,0.022,Paramagnetic,2.2e-07,3.0826e-08,Simple Hexagonal
59,Praseodymium,Pr,140.90766,6.64,1204.0,3563.0,,193.0,13.0,6.7e-06,2.1221e-05,1.13,50.0,4.0,2589.0,1400000.0,7e-07,,Paramagnetic,4.23e-07,5.9604e-08,Simple Hexagonal
60,Neodymium,Nd,144.242,7.01,1294.0,3373.0,,190.0,17.0,9.6e-06,2.0577e-05,1.14,50.0,3.0,1900.775,1600000.0,6.4e-07,,Paramagnetic,4.8e-07,6.9235e-08,Simple Hexagonal
61,Promethium,Pm,145.0,7.264,1373.0,3273.0,,,15.0,1.1e-05,1.996145374449e-05,,50.0,3.0,1927.5,1300000.0,7.5e-07,,,,,
62,Samarium,Sm,150.36,7.353,1345.0,2076.0,,196.0,13.0,1.27e-05,2.0449e-05,1.17,50.0,3.0,1966.125,1100000.0,9.4e-07,,Paramagnetic,1.11e-07,1.669e-08,Simple Trigonal
63,Europium,Eu,151.964,5.244,1095.0,1800.0,,182.0,14.0,3.5e-05,2.8979e-05,,50.0,3.0,2039.025,1100000.0,9e-07,1.8,Paramagnetic,2.76e-07,4.1942e-08,Body-centered Cubic
64,Gadolinium,Gd,157.25,7.901,1586.0,3523.0,,240.0,11.0,9.4e-06,1.9903e-05,1.2,50.0,3.0,2000.85,770000.0,1.3e-06,,Ferromagnetic,,,Simple Hexagonal
65,Terbium,Tb,158.92535,8.219,1629.0,3503.0,,182.0,11.0,1.03e-05,1.9336e-05,,50.0,3.0,1907.2,830000.0,1.2e-06,,Paramagnetic,1.36e-05,2.161385e-06,Simple Hexagonal
66,Dysprosium,Dy,162.5,8.551,1685.0,2840.0,,167.0,11.0,1e-05,1.9004e-05,1.22,50.0,3.0,1973.25,1100000.0,9.1e-07,,Paramagnetic,5.45e-06,8.85625e-07,Simple Hexagonal
67,Holmium,Ho,164.93033,8.795,1747.0,2973.0,,165.0,16.0,1.12e-05,1.8753e-05,1.23,50.0,3.0,2006.25,1100000.0,9.4e-07,,Paramagnetic,5.49e-06,9.05467e-07,Simple Hexagonal
68,Erbium,Er,167.259,9.066,1770.0,3141.0,,168.0,15.0,1.22e-05,1.8449e-05,1.24,50.0,3.0,2013.325,1200000.0,8.6e-07,,Paramagnetic,3.77e-06,6.30566e-07,Simple Hexagonal
69,Thulium,Tm,168.93422,9.32,1818.0,2223.0,,160.0,17.0,1.33e-05,1.8126e-05,1.25,50.0,3.0,2040.425,1400000.0,7e-07,,Paramagnetic,1.99e-06,3.36179e-07,Simple Hexagonal
70,Ytterbium,Yb,173.045,6.57,1092.0,1469.0,,154.0,39.0,2.63e-05,2.6339e-05,,50.0,3.0,2099.55,3600000.0,2.8e-07,,Paramagnetic,5.9e-09,1.02e-09,Face-centered Cubic
71,Lutetium,Lu,174.9668,9.841,1936.0,3675.0,,154.0,16.0,1e-05,1.7779e-05,1.27,50.0,3.0,2940.16,1800000.0,5.7e-07,0.1,Paramagnetic,1.2e-09,2.1e-10,Simple Hexagonal
72,Hafnium,Hf,178.49,13.31,2506.0,4876.0,,144.0,23.0,5.9e-06,1.34102e-05,1.3,0.0,4.0,1891.125,3300000.0,3e-07,0.128,Paramagnetic,5.3e-09,9.46e-10,Simple Hexagonal
73,Tantalum,Ta,180.94788,16.65,3290.0,5731.0,,140.0,57.0,6.3e-06,1.08677e-05,1.5,31.0,5.0,1130.5,7700000.0,1.3e-07,4.47,Paramagnetic,1.07e-08,1.936e-09,Body-centered Cubic
74,Tungsten,W,183.84,19.25,3695.0,5828.0,,132.0,170.0,4.5e-06,9.5501e-06,2.36,78.6,6.0,1235.0,20000000.0,4.999999999997e-08,0.015,Paramagnetic,4.59e-09,8.44e-10,Body-centered Cubic
75,Rhenium,Re,186.207,21.02,3459.0,5869.0,,137.0,48.0,6.2e-06,8.85856e-06,1.9,14.5,7.0,2042.5,5600000.0,1.8e-07,1.7,Paramagnetic,4.56e-09,8.49e-10,Simple Hexagonal
76,Osmium,Os,190.23,22.59,3306.0,5285.0,,130.0,87.0,5.1e-06,8.421e-06,2.2,106.1,6.0,1220.0,12000000.0,8.000000000001e-08,0.66,Paramagnetic,6e-10,1.1e-10,Simple Hexagonal
77,Iridium,Ir,192.217,22.56,2739.0,4701.0,,131.0,150.0,6.4e-06,8.5203e-06,2.2,151.0,6.0,1240.0,21000000.0,4.699999999998e-08,0.11,Paramagnetic,1.67e-09,3.21e-10,Face-centered Cubic
78,Platinum,Pt,195.084,21.45,2041.4,4098.0,,133.0,71.0,8.9e-06,9.0948e-06,2.28,205.3,6.0,1330.5,9400000.0,1.1e-07,,Paramagnetic,1.22e-08,2.38e-09,Face-centered Cubic
79,Gold,Au,196.966569,19.3,1337.33,3129.0,,129.1,320.0,1.42e-05,1.021e-05,2.54,222.8,5.0,1435.05,45000000.0,2.2e-08,,Diamagnetic,-1.78e-09,-3.51e-10,Face-centered Cubic
80,Mercury,Hg,200.592,13.534,234.32,629.88,1698.0,139.5,8.3,0.000181,1.48213e-05,2.0,0.0,2.0,2039.0333333333335,1000000.0,9.6e-07,4.154,Diamagnetic,-2.1e-09,-4.21e-10,Simple Trigonal
81,Thallium,Tl,204.38,11.85,577.0,1746.0,,129.0,46.0,2.99e-05,1.72473e-05,1.62,19.2,3.0,1812.8,6700000.0,1.5e-07,2.38,Diamagnetic,-3e-09,-6.13e-10,Simple Hexagonal
82,Lead,Pb,207.2,11.34,600.61,2022.0,,127.0,35.0,2.89e-05,1.8272e-05,2.33,35.1,4.0,3194.12,4800000.0,2.1e-07,7.2,Diamagnetic,-1.5e-09,-3.11e-10,Face-centered Cubic
83,Bismuth,Bi,208.9804,9.78,544.4,1837.0,,122.0,8.0,1.34e-05,2.1368e-05,2.02,91.2,5.0,3844.8333333333335,770000.0,1.3e-06,,Diamagnetic,-1.7e-08,-3.6e-09,Base-centered Monoclinic
84,Polonium,Po,209.0,9.196,528.0,1235.0,,,,,2.272727272727e-05,2.0,183.3,6.0,812.1,2300000.0,4.3e-07,,,,,Simple Cubic
85,Astatine,At,210.0,,577.0,,,,2.0,,,2.2,270.1,7.0,920.0,,,,,,,
86,Radon,Rn,222.0,9.73,202.0,211.3,61.98,93.65,0.00361,,0.02281603288798,,0.0,6.0,1037.0,,,,,,,
87,Francium,Fr,223.0,,,,,,,,,0.7,,1.0,380.0,,,,,,,
88,Radium,Ra,226.0,5.0,973.0,2010.0,,92.0,19.0,,4.52e-05,0.9,,2.0,744.15,1000000.0,1e-06,,,,,Body-centered Cubic
89,Actinium,Ac,227.0,10.07,1323.0,3473.0,,120.0,12.0,,2.254220456802e-05,1.1,,3.0,834.5,,,,,,,Face-centered Cubic
90,Thorium,Th,232.0377,11.724,2023.0,5093.0,,118.0,54.0,1.1e-05,1.97917e-05,1.3,,4.0,1601.75,6700000.0,1.5e-07,1.38,Paramagnetic,7.2e-09,1.7e-09,Face-centered Cubic
91,Protactinium,Pa,231.03588,15.37,1845.0,4273.0,,99.1,47.0,,1.50316e-05,1.5,,5.0,568.0,5600000.0,1.8e-07,1.41,Paramagnetic,3.25e-08,7.509e-09,Centered Tetragonal
92,Uranium,U,238.02891,19.05,1408.0,4200.0,,116.0,27.0,1.39e-05,1.2495e-05,1.38,,6.0,1008.8,3600000.0,2.8e-07,0.69,Paramagnetic,2.16e-08,5.14e-09,Base Orthorhombic
93,Neptunium,Np,237.0,20.45,917.0,4273.0,,,6.0,,1.158924205379e-05,1.36,,6.0,604.5,830000.0,1.2e-06,,,,,Simple Orthorhombic
94,Plutonium,Pu,244.0,19.816,913.0,3503.0,,,6.0,,1.231328219621e-05,1.28,,6.0,584.7,670000.0,1.5e-06,,Paramagnetic,3.17e-08,7.735e-09,Simple Monoclinic
95,Americium,Am,243.0,13.67,1449.0,2284.0,,,10.0,,1.777615215801e-05,1.3,,4.0,578.0,,,0.6,Paramagnetic,5.15e-08,1.251e-08,Simple Hexagonal
96,Curium,Cm,247.0,13.51,1618.0,3383.0,,,,,1.828275351591e-05,1.3,,4.0,581.0,,,,,,,Simple Hexagonal
97,Berkelium,Bk,247.0,14.78,1323.0,,,,10.0,,1.671177266576e-05,1.3,,4.0,601.0,,,,,,,Simple Hexagonal
98,Californium,Cf,251.0,15.1,1173.0,,,,,,1.662251655629e-05,1.3,,4.0,608.0,,,,,,,Simple Hexagonal
99,Einsteinium,Es,252.0,,1133.0,,,,,,,1.3,,4.0,619.0,,,,,,,
100,Fermium,Fm,257.0,,1800.0,,,,,,,1.3,,3.0,627.0,,,,,,,
101,Mendelevium,Md,258.0,,1100.0,,,,,,,1.3,,3.0,635.0,,,,,,,
102,Nobelium,No,259.0,,1100.0,,,,,,,1.3,,3.0,642.0,,,,,,,
103,Lawrencium,Lr,262.0,,1900.0,,,,,,,,,3.0,,,,,,,,
104,Rutherfordium,Rf,267.0,,,,,,,,,,,4.0,,,,,,,,
105,Dubnium,Db,270.0,,,,,,,,,,,5.0,,,,,,,,
106,Seaborgium,Sg,269.0,,,,,,,,,,,6.0,,,,,,,,
107,Bohrium,Bh,270.0,,,,,,,,,,,7.0,,,,,,,,
108,Hassium,Hs,270.0,,,,,,,,,,,,,,,,,,,
109,Meitnerium,Mt,278.0,,,,,,,,,,,,,,,,,,,
110,Darmstadtium,Ds,281.0,,,,,,,,,,,,,,,,,,,
111,Roentgenium,Rg,281.0,,,,,,,,,,,,,,,,,,,
112,Copernicium,Cn,285.0,,,,,,,,,,,,,,,,,,,
113,Nihonium,Nh,286.0,,,,,,,,,,,,,,,,,,,
114,Flerovium,Fl,289.0,,,,,,,,,,,,,,,,,,,
115,Moscovium,Mc,289.0,,,,,,,,,,,,,,,,,,,
116,Livermorium,Lv,293.0,,,,,,,,,,,,,,,,,,,
117,Tennessine,Ts,293.0,,,,,,,,,,,,,,,,,,,
118,Oganesson,Og,294.0,,,,,,,,,,,,,,,,,,,
